case_id,PSNR,SSIM
LIDC-IDRI-0004,26.255131204372884,0.9171042908544818
LIDC-IDRI-0013,23.88431505017964,0.8694387509280416
LIDC-IDRI-0014,22.62417363223662,0.8471507437880602
LIDC-IDRI-0016,25.069273300097162,0.9097572815998491
LIDC-IDRI-0017,25.350481142542193,0.9102554463574867
LIDC-IDRI-0023,25.787869521448926,0.91679371079267
LIDC-IDRI-0041,21.295810248255304,0.8449593735395934
LIDC-IDRI-0045,22.312086504537444,0.8654832453838728
LIDC-IDRI-0048,22.573057890767167,0.8841819866657842
LIDC-IDRI-0050,22.578091091551137,0.8675785402968045
LIDC-IDRI-0053,23.174755459883517,0.8787339681330222
LIDC-IDRI-0058,22.169475429739048,0.8605084114335041
LIDC-IDRI-0064,23.781404286293117,0.8935068028100299
LIDC-IDRI-0072,25.421952533853748,0.9218212575186738
LIDC-IDRI-0080,23.40772043367115,0.8467299333200669
LIDC-IDRI-0082,21.419678849944038,0.8463304973741742
LIDC-IDRI-0099,24.828496988080822,0.9279828969153643
LIDC-IDRI-0102,26.74560872589915,0.9382103708340103
LIDC-IDRI-0111,23.031332915573834,0.8397461205267133
LIDC-IDRI-0112,22.858657708672844,0.8545280702865
LIDC-IDRI-0113,22.944298323273994,0.8818739624097166
LIDC-IDRI-0115,9.39952993388691,0.1767627094701754
LIDC-IDRI-0120,9.221511185590282,0.2923454821597511
LIDC-IDRI-0126,24.59389792845571,0.8885037341913138
LIDC-IDRI-0136,24.442004679952014,0.9127543656346213
LIDC-IDRI-0141,22.11633135348786,0.8492080923165886
LIDC-IDRI-0143,22.02084932770964,0.8550956767397457
LIDC-IDRI-0151,12.852839947592773,0.04635550255557175
LIDC-IDRI-0173,23.06971938964148,0.8775267261236094
LIDC-IDRI-0175,25.354897687812603,0.8993438164167596
LIDC-IDRI-0177,24.031330682372285,0.9001229308050549
LIDC-IDRI-0184,23.044608115040543,0.8594455761227845
LIDC-IDRI-0186,25.692384119154987,0.8874352356074772
LIDC-IDRI-0194,22.30214335588768,0.8576535562428865
LIDC-IDRI-0195,21.980547201282874,0.8612032870077785
LIDC-IDRI-0215,24.662846987940718,0.9073611270221518
LIDC-IDRI-0217,24.333320111797768,0.9045884346818261
LIDC-IDRI-0230,22.950101683301472,0.9083085483327121
LIDC-IDRI-0236,23.942348421089676,0.8835461110243501
LIDC-IDRI-0260,23.22275844454265,0.8498057318660606
LIDC-IDRI-0276,23.739131052886805,0.8998939754095481
LIDC-IDRI-0281,23.435275739998698,0.9064438190657788
LIDC-IDRI-0284,23.674994506902287,0.8960315314636974
LIDC-IDRI-0289,22.963261250419244,0.8745213131773402
LIDC-IDRI-0297,20.793310102576367,0.7908093598654028
LIDC-IDRI-0303,29.633585497778952,0.9617616054269352
LIDC-IDRI-0304,22.80718925992295,0.8827899022109938
LIDC-IDRI-0310,10.154351276422673,0.30210709696752586
LIDC-IDRI-0324,21.2023335529676,0.824419643488034
LIDC-IDRI-0329,25.128687630511727,0.9090262722380242
LIDC-IDRI-0337,23.466788786501112,0.906122737259337
LIDC-IDRI-0340,23.11198719779467,0.9099687036616207
LIDC-IDRI-0343,22.038912487782646,0.8506120404425659
LIDC-IDRI-0344,21.42490034355263,0.8503997337891502
